No,可否,祭りの名称,*,開催日1,開始時間1,終了時間1,開催日2,開始時間2,終了時間2,開催日3,開始時間3,終了時間3,開催日4,開始時間4,終了時間4,開催日5,開始時間5,終了時間5,開催日6,開始時間6,終了時間6,開催日7,開始時間7,終了時間7,開催日8,開始時間8,終了時間8,開催日9,開始時間9,終了時間9,備考,*,会場名称,会場住所,会場住所コード,会場緯度,会場経度,*,<踊り>,<歌唱>,<太鼓>,<演奏>,<出店・屋台>,<花火>,<神輿>,<その他>,*,目玉イベント1,目玉イベント2,*,一般参加,一般条件,*,url,主催団体1,主催団体2,主催団体3,*,ソース
101,1,大森小地区盆踊り大会,1,2015-08-29,19:00,21:00,2015-08-30,19:00,21:00,,,,,,,,,,,,,,,,,,,,,,,1,大森小学校校庭,千葉市中央区大森町268,121010011,35.580215,140.145172,1,1,0,0,0,0,0,0,,1,,,1,1,,1,,大森小地区盆踊り大会実行委員会,,,1,千葉市
201,1,瑞穂夏まつり,1,2015-08-22,9:00,11:00,2015-08-22,16:00,21:00,,,,,,,,,,,,,,,,,,,,,,,1,瑞穂小学校校庭,千葉市花見川区瑞穂1丁目2,121020028,35.66436111,140.0691111,1,1,0,1,1,1,0,1,ねぷた、山車、ステージでの踊り、キッズダンス、演奏など,1,子ども御輿行進（9:00～11:00）,ステージ・縁日（17:00～21:00）,1,9,出演者は原則として瑞穂に関係のある者、参観は自由,1,,瑞穂夏まつり実行委員会,瑞穂自治会,ガーデンプラザ新検見川自治会,1,千葉市
205,1,み春野ふるさと夏祭り,1,2015-08-22,15:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,1,宇那谷み春野公園,千葉市花見川区み春野1丁目11,121020033,35.692238,140.13826,1,1,0,1,0,1,1,0,前夜祭,1,花火大会,,1,1,出店は不可,1,http://blogs.yahoo.co.jp/miharuno_tsubasanooka,み春野自治会,,,1,千葉市
207,1,柏井ふるさと祭り,1,2015-07-18,17:00,21:30,2015-07-19,17:00,21:00,,,,,,,,,,,,,,,,,,,,,,,1,柏井小学校校庭,千葉市花見川区柏井4丁目48-1,121020006,35.708488,140.106522,1,1,0,1,1,1,1,0,,1,両日とも午後8時より打ち上げ花火100発（3寸玉）,,1,1,,1,,柏井ふるさと祭り実行委員会,,,1,千葉市
209,1,夏祭り,1,2015-07-18,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,雨天順延,1,芦太公園,千葉市花見川区柏井1-20,121020006,35.695487,140.096042,1,1,1,0,0,1,0,0,野菜の即売,1,一條貫太、歌唱（7/18 18:00より）,,1,1,,1,,柏井北自治会,八千代台パークハイツ自治会,,1,千葉市
210,1,門原地区盆踊り大会,1,2015-07-25,19:00,21:00,2015-07-26,19:00,21:00,,,,,,,,,,,,,,,,,,,,,,,1,長作小学校校庭,千葉市花見川区長作町1273,121020018,35.68515,140.074097,1,1,0,1,0,1,0,0,,1,,,,1,,1,,長作町内会第2区門原,,,1,千葉市
211,1,瑞穂夏まつり,1,2015-08-22,17:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,1,瑞穂小学校校庭,千葉市花見川区瑞穂1丁目2,121020028,35.663994,140.068832,1,1,1,0,1,1,0,1,子供みこし行進,1,子供みこし行進、各種ステージ上での催し物,,1,1,,1,http://gardenplaza.web.fc2.com,ガーデンプラザ新検見川自治会,瑞穂自治会,,1,千葉市
212,1,緑丘町会町民ふれあい祭り,1,2015-06-27,16:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,1,長作みどり公園,千葉市花見川区長作町1623－1,121020018,35.685061,140.082075,1,0,1,1,1,1,0,0,津軽三味線,1,緑丘町営歌クラブ・子どもの参加あり,津軽三味線奏者,1,9,自治会員・地域住民のみ,1,,長作台緑丘町会,,,1,千葉市
214,1,第42回さつきが丘夏まつり,1,2015-07-31,18:00,21:00,2015-08-01,17:00,21:00,2015-08-02,17:00,21:00,,,,,,,,,,,,,,,,,,,7/31は前夜祭（カラオケ）,1,さつきが丘西公園,千葉市花見川区さつきが丘2丁目31,121020012,35.667236,140.092712,1,1,1,1,1,1,0,0,お楽しみ抽選会,1,お楽しみ抽選会(8/1),前夜祭（さつきが丘名店街協賛。7/31）,1,1,毎年、熊谷市長に参加していただいております,1,,さつきが丘一丁目町内会（4団体）,さつきが丘二丁目町内会（6団体）,さつきが丘名店街,1,千葉市
223,1,蓮まつり,1,2015-07-19,3:00,9:00,2015-07-20,7:00,9:00,,,,,,,,,,,,,,,,,,,,,,,1,蓮まつり,千葉市花見川区畑町1051,121020021,35.663177,140.074387,1,1,0,1,0,1,0,1,旧東大植物研究所の蓮見会,1,子供みこし,盆おどり,1,1,,1,,花園地区張娜自治会連合会,,,1,千葉市
